PhraseId,SentenceId,Phrase,Sentiment
122,210,the movie equivalent of staring into an open wound,0
123,215,instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,0
124,215,a routine slasher film that was probably more fun to make than it is to sit through,0
125,217,A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place,0
126,217,A superfluous sequel,0
127,217,superfluous sequel,0
128,217,by that old familiar feeling of ` let 's get this thing over with ',0
129,217,of ` let 's get this thing over with,0
130,219,a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds,0
131,219,romantic-comedy duds,0
132,223,Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,0
133,223,like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,0
134,223,a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story,0
135,223,an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story,0
136,223,an overripe episode of TV 's Dawson 's Creek,0
137,223,a recycled and dumbed-down version of Love Story,0
138,223,a recycled and dumbed-down version,0
139,225,The film is so bad it does n't improve upon the experience of staring at a blank screen .,0
140,225,is so bad it does n't improve upon the experience of staring at a blank screen .,0
141,225,is so bad it does n't improve upon the experience of staring at a blank screen,0
142,225,it does n't improve upon the experience of staring at a blank screen,0
143,225,the experience of staring at a blank screen,0
144,233,its lackadaisical plotting and mindless action,0
145,233,lackadaisical plotting and mindless action,0
146,233,plotting and mindless,0
147,233,All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .,0
148,233,evokes the bottom tier of blaxploitation flicks from the 1970s,0
149,234,that would be me : fighting off the urge to doze .,0
150,234,would be me : fighting off the urge to doze .,0
151,234,be me : fighting off the urge to doze,0
152,235,of very bad Scouse accents,0
153,242,Feels strangely hollow at its emotional core .,0
154,242,hollow at its emotional core,0
155,243,a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had,0
156,243,when commercialism has squeezed the life out of whatever idealism American moviemaking ever had,0
157,243,has squeezed the life out of whatever idealism American moviemaking ever had,0
158,250,Black-and-white and unrealistic .,0
159,252,avoid being recognized as the man who bilked unsuspecting moviegoers,0
160,261,bites off more than it can chew by linking the massacre,0
161,268,largely bogus story,0
162,268,bogus story,0
163,273,has become apparent that the franchise 's best years are long past,0
164,273,become apparent that the franchise 's best years are long past,0
165,273,the franchise 's best years are long past,0
166,274,small and easily overshadowed by its predictability,0
167,279,Festers in just such a dungpile that you 'd swear you were watching monkeys flinging their feces at you .,0
168,279,Festers in just such a dungpile that you 'd swear you,0
169,279,just such a dungpile,0
170,279,such a dungpile,0
171,279,were watching monkeys flinging their feces at you .,0
172,279,flinging their feces,0
173,279,their feces,0
174,280,the dialogue sounds like horrible poetry .,0
175,280,sounds like horrible poetry .,0
176,280,horrible,0
177,281,... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . ',0
178,281,a scummy ripoff of David Cronenberg 's brilliant ` Videodrome .,0
179,281,a scummy ripoff of David Cronenberg 's brilliant ` Videodrome,0
180,281,a scummy ripoff of David Cronenberg,0
181,281,scummy ripoff,0
182,281,ripoff,0
183,285,just does n't cut it,0
184,286,arch and rather cold-blooded comedy,0
185,287,-LRB- A -RRB- rather thinly-conceived movie .,0
186,295,is the lack of emphasis on music in Britney Spears ' first movie,0
187,299,A dreary movie .,0
188,299,dreary movie .,0
189,300,they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .,0
190,300,ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .,0
191,301,shallow and glib,0
192,308,his way of saying that piffle is all that the airhead movie business deserves from him right now,0
193,308,that piffle is all that the airhead movie business deserves from him right now,0
194,310,most of what passes for sex in the movies look like cheap hysterics,0
195,310,of what passes for sex in the movies look like cheap hysterics,0
196,310,passes for sex in the movies look like cheap hysterics,0
197,310,for sex in the movies look like cheap hysterics,0
198,310,look like cheap hysterics,0
199,311,Uneven performances and a spotty script,0
200,312,... irritating soul-searching garbage .,0
201,312,irritating soul-searching garbage .,0
202,312,irritating,0
203,312,soul-searching garbage .,0
204,312,garbage .,0
205,315,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little .,0
206,315,seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little,0
207,315,disappointingly thin,0
208,315,disappointingly,0
209,322,It appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .,0
210,322,appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .,0
211,322,appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0
212,322,to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0
213,322,have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0
214,322,made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0
215,324,dreadful,0
216,328,painfully,0
217,329,A relative letdown .,0
218,329,relative letdown .,0
219,329,letdown,0
220,336,joyless,0
221,336,idiotic,0
222,336,annoying,0
223,336,visually atrocious,0
224,336,atrocious,0
225,338,One of the most highly-praised disappointments I 've had the misfortune to watch in quite some time .,0
226,338,of the most highly-praised disappointments I,0
227,338,disappointments,0
228,344,Remember back when thrillers actually thrilled,0
229,346,Fails so fundamentally on every conventional level,0
230,351,is abhorrent to you,0
231,351,abhorrent,0
232,351,be more like hell,0
233,351,hell,0
234,354,Purports to be a Hollywood satire but winds up as the kind of film that should be the target of something,0
235,354,a Hollywood satire but winds up as the kind of film that should be the target of something,0
236,362,An unsophisticated,0
237,363,Stupid,0
238,363,sloppy,0
239,365,one more dumb high school comedy about sex gags and prom dates,0
240,379,every cheap trick in the book trying to make the outrage,0
241,382,Just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny .,0
242,382,terribly,0
243,383,This ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it .,0
244,383,ill-conceived and expensive project,0
245,384,offensive and redundant,0
246,390,everybody else is in the background and it just seems manufactured to me and artificial,0
247,396,trash,0
248,397,failed,0
249,398,winds up mired in tear-drenched quicksand .,0
250,404,the final effect is like having two guys yelling in your face for two hours .,0
251,404,having two guys yelling in your face for two hours,0
252,404,two guys yelling in your face for two hours,0
253,406,assembled cliches and pabulum that plays like a 95-minute commercial for NBA properties .,0
254,406,plays like a 95-minute commercial for NBA properties,0
255,406,a 95-minute commercial,0
256,406,95-minute commercial,0
257,407,that manages to do virtually everything wrong,0
258,407,manages to do virtually everything wrong,0
259,407,do virtually everything wrong,0
260,407,sitting through it is something akin to an act of cinematic penance,0
261,412,Anyone who suffers through this film,0
262,418,walked away from this new version of E.T.,0
263,419,Attal pushes too hard to make this a comedy or serious drama .,0
264,427,#NAME?,0
265,427,both overplayed and exaggerated,0
266,427,overplayed and exaggerated,0
267,430,double-barreled rip-off,0
268,430,rip-off,0
269,431,frustratingly refuses to give Pinochet 's crimes a political context,0
270,431,crimes,0
271,434,nightmare,0
272,444,the incessant use,0
273,459,flat as the scruffy sands of its titular community,0
274,460,The young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient,0
275,462,characteristically engorged and sloppy,0
276,468,is the kind of film that could only be made by African-Americans because of its broad racial insensitivity towards African-Americans,0
277,468,that could only be made by African-Americans because of its broad racial insensitivity towards African-Americans,0
278,471,begins as a Seven rip-off,0
279,475,An extremely unpleasant film .,0
280,475,An extremely unpleasant film,0
281,475,extremely unpleasant film,0
282,475,extremely unpleasant,0
283,486,... in the pile of useless actioners from MTV schmucks who do n't know how to tell a story for more than four minutes .,0
284,486,in the pile of useless actioners from MTV schmucks who do n't know how to tell a story for more than four minutes,0
285,486,the pile of useless actioners,0
286,486,MTV schmucks who do n't know how to tell a story for more than four minutes,0
287,486,MTV schmucks,0
288,487,It is not the first time that director Sara Sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them .,0
289,488,we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity,0
290,491,This overproduced piece of dreck is shockingly bad and absolutely unnecessary .,0
291,491,This overproduced piece of dreck,0
292,491,is shockingly bad and absolutely unnecessary .,0
293,491,is shockingly bad and absolutely unnecessary,0
294,491,shockingly bad and absolutely unnecessary,0
295,491,shockingly bad,0
296,500,it comes off as annoying rather than charming,0
297,500,comes off as annoying rather than charming,0
298,502,crude humor and vulgar innuendo,0
299,507,this is the opposite of a truly magical movie .,0
300,507,is the opposite of a truly magical movie .,0
301,510,is hamstrung by a badly handled screenplay of what is really an amusing concept -- a high-tech tux that transforms its wearer into a superman .,0
302,510,a badly handled screenplay,0
303,510,badly handled screenplay,0
304,511,seem disappointing in its generalities,0
305,511,disappointing,0
306,518,the poor acting,0
307,518,poor acting,0
308,521,as though Jay Roach directed the film from the back of a taxicab,0
309,521,directed the film from the back of a taxicab,0
310,524,to the point of nausea,0
311,524,the point of nausea,0
312,526,ultimately comes off as insultingly simplistic,0
313,527,An unbelievably stupid film,0
314,527,unbelievably stupid,0
315,538,this crude,0
316,539,` This movie sucks . ',0
317,539,sucks . ',0
318,539,sucks .,0
319,539,sucks,0
320,543,done-to-death material,0
321,548,After that it becomes long and tedious like a classroom play in a college history course .,0
322,548,it becomes long and tedious like a classroom play in a college history course .,0
323,548,becomes long and tedious like a classroom play in a college history course,0
324,548,long and tedious,0
325,552,tortured,0
326,557,boring,0
327,561,felt myself powerfully drawn toward the light -- the light of the exit sign,0
328,561,myself powerfully drawn toward the light -- the light of the exit sign,0
329,561,drawn toward the light -- the light of the exit sign,0
330,563,wreaked,0
331,563,is seriously compromised by that,0
332,564,frustration,0
333,570,flawed but rather unexceptional,0
334,570,unexceptional,0
335,574,The most excruciating 86 minutes one,0
336,574,most excruciating 86 minutes one,0
337,574,most excruciating,0
338,574,excruciating,0
339,574,involve a dentist drill,0
340,576,so-bad-they,0
341,576,in this jumbled mess,0
342,576,this jumbled mess,0
343,587,just unlikable .,0
344,587,unlikable,0
345,591,The next big thing 's not-so-big -LRB- and not-so-hot -RRB-,0
346,593,Overly long,0
347,598,ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .,0
348,598,the last time I saw a movie where I wanted so badly for the protagonist to fail,0
349,599,undermining the movie 's reality and stifling its creator 's comic voice,0
350,601,a squirm-inducing fish-out-of-water formula,0
351,604,A mechanical action-comedy whose seeming purpose is to market the charismatic Jackie Chan to even younger audiences .,0
352,605,Chalk it up as the worst kind of hubristic folly .,0
353,605,up as the worst kind of hubristic folly,0
354,605,the worst kind of hubristic folly,0
355,605,worst kind,0
356,605,worst,0
357,615,are served with a hack script,0
358,616,is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors .,0
359,616,an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors,0
360,616,an insultingly inept and artificial examination of grief and,0
361,616,an insultingly inept and artificial examination of grief,0
362,616,an insultingly inept and artificial examination,0
363,616,insultingly inept and artificial,0
364,618,a picture that was n't all that great to begin with,0
365,625,could n't pick the lint off Borg Queen Alice Krige 's cape,0
366,627,It 's just rather leaden and dull .,0
367,627,leaden and dull,0
368,628,never clearly defines his characters or gives us a reason to care about them .,0
369,633,crematorium chimney fires and stacks of dead bodies,0
370,633,which is way too stagy,0
371,638,offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar,0
372,641,or maybe `` How will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ? '',0
373,641,maybe `` How will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ? '',0
374,641,will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ? '',0
375,641,will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ?,0
376,641,will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering,0
377,641,after an 88-minute rip-off of The Rock,0
378,641,an 88-minute rip-off of The Rock,0
379,641,an 88-minute rip-off,0
380,641,88-minute rip-off,0
381,643,can such a cold movie claim to express warmth and longing ?,0
382,647,Shankman ... and screenwriter Karen Janszen bungle their way through the narrative as if it were a series of Bible parables and not an actual story .,0
383,647,bungle their way through the narrative as if it were a series of Bible parables and not an actual story .,0
384,647,bungle their way through the narrative as if it were a series of Bible parables and not an actual story,0
385,649,'s a terrible movie in every regard,0
386,649,a terrible movie in every regard,0
387,649,a terrible movie,0
388,649,utterly painful to watch,0
389,650,Why spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?,0
390,650,spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?,0
391,650,spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby,0
392,656,Ver Wiel 's desperate attempt at wit,0
393,656,of Critical Jim two-dimensional and pointless,0
394,659,it 's badder than bad .,0
395,659,'s badder than bad,0
396,659,badder than bad,0
397,660,Wedding feels a bit anachronistic .,0
398,662,other than fling gags at it,0
399,669,So boring that even its target audience talked all the way through it .,0
400,669,So boring,0
401,669,talked all the way through it,0
402,671,Rarely has sex on screen been so aggressively anti-erotic .,0
403,682,to alienate the mainstream audience while ringing cliched to hardened indie-heads,0
404,689,It 's petty thievery like this that puts flimsy flicks like this behind bars,0
405,689,petty thievery like this that puts flimsy flicks like this behind bars,0
406,689,puts flimsy flicks like this behind bars,0
407,695,Nearly every attempt at humor here is DOA .,0
408,695,is DOA .,0
409,695,is DOA,0
410,699,Too bland and,0
411,704,lacks balance ... and fails to put the struggle into meaningful historical context .,0
412,712,You can practically hear George Orwell turning over .,0
413,716,unrepentantly trashy,0
414,718,Pretend like your SAT scores are below 120 and you might not notice the flaws,0
415,718,Pretend like your SAT scores are below 120 and,0
416,718,Pretend like your SAT scores are below 120,0
417,720,has failed him,0
418,729,I think even fans of Sandler 's comic taste may find it uninteresting,0
419,729,find it uninteresting,0
420,730,You can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed .,0
421,730,can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed .,0
422,730,can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed,0
423,730,guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed,0
424,730,why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed,0
425,730,did n't sign a pact to burn the negative and the script and pretend the whole thing never existed,0
426,730,sign a pact to burn the negative and the script and pretend the whole thing never existed,0
427,730,a pact to burn the negative and the script and pretend the whole thing never existed,0
428,730,pact to burn the negative and the script and pretend the whole thing never existed,0
429,730,to burn the negative and the script and pretend the whole thing never existed,0
430,730,burn the negative and the script and pretend the whole thing never existed,0
431,730,burn the negative and the script and,0
432,730,burn the negative and the script,0
433,730,pretend the whole thing never existed,0
434,739,it 's something else altogether -- clownish and offensive and nothing at all like real life,0
435,739,'s something else altogether -- clownish and offensive and nothing at all like real life,0
436,739,something else altogether -- clownish and offensive and nothing at all like real life,0
437,739,offensive and nothing at all like real life,0
438,743,tiresome love triangles,0
439,752,squeeze the action and our emotions into the all-too-familiar dramatic arc of the Holocaust escape story,0
440,752,Minac drains his movie of all individuality,0
441,753,scream low budget,0
442,767,A muddled limp biscuit,0
443,775,achieves the remarkable feat of squandering a topnotch foursome of actors,0
444,775,white-trash,0
445,779,starts off promisingly but then proceeds to flop,0
446,779,runs out of steam after a half hour .,0
447,784,knock back a beer with but they 're simply not funny performers,0
448,784,simply not funny performers,0
449,785,It 's not a motion picture ; it 's an utterly static picture .,0
450,785,It 's not a motion picture ; it 's an utterly static picture,0
451,798,More of the same old garbage Hollywood has been trying to pass off as acceptable teen entertainment for some time now .,0
452,798,More of the same old garbage,0
453,798,of the same old garbage,0
454,798,the same old garbage,0
455,798,same old garbage,0
456,798,old garbage,0
457,807,Execrable .,0
458,807,Execrable,0
459,817,there 's nothing very attractive about this movie,0
460,817,'s nothing very attractive about this movie,0
461,825,the unacceptable,0
462,827,is a frustrating patchwork : an uneasy marriage of Louis Begley 's source novel -LRB- About Schmidt -RRB- and an old Payne screenplay .,0
463,827,a frustrating patchwork :,0
464,827,frustrating,0
465,833,been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again,0
466,833,generic scripts that seek to remake Sleepless in Seattle again and again,0
467,835,unsatisfying,0
468,842,turned them into a 90-minute movie that feels five hours long,0
469,842,into a 90-minute movie that feels five hours long,0
470,843,Interminably bleak,0
471,847,This movie is about the worst thing Chan has done in the United States .,0
472,847,is about the worst thing Chan has done in the United States .,0
473,847,the worst thing,0
474,847,worst thing,0
475,851,slack complacency,0
476,851,can drown out the tinny self-righteousness of his voice,0
477,854,disappointing and meandering,0
478,855,'s in the action scenes that things fall apart,0
479,856,'s no palpable chemistry between Lopez and male lead Ralph Fiennes,0
480,862,both sitcomishly predictable and cloying,0
481,863,crude film,0
482,864,#NAME?,0
483,865,A work that lacks both a purpose and a strong pulse .,0
484,877,trailer-trash style .,0
485,877,trailer-trash style,0
486,879,A fifty car pileup of cliches .,0
487,879,A fifty car pileup of cliches,0
488,881,slapdash disaster,0
489,881,disaster,0
490,889,Irwin and his director never come up with an adequate reason why we should pay money for what we can get on television for free .,0
491,892,`` Abandon '' will leave you wanting to abandon the theater .,0
492,892,Abandon '' will leave you wanting to abandon the theater .,0
493,892,'' will leave you wanting to abandon the theater .,0
494,892,will leave you wanting to abandon the theater .,0
495,892,leave you wanting to abandon the theater,0
496,894,you 're desperate for the evening to end .,0
497,896,Feels more like a rejected X-Files episode than a credible account of a puzzling real-life happening .,0
498,896,a rejected X-Files episode than a credible account of a puzzling real-life happening,0
499,897,No amount of good intentions is able to overcome the triviality of the story .,0
500,898,dead-end distaste,0
501,904,Every sequel you skip will be two hours gained .,0
502,911,Consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director I admire,0
503,911,the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director I admire,0
504,911,a giant step backward for a director I admire,0
505,911,a giant step backward,0
506,915,see the same old thing in a tired old setting,0
507,917,pathetically compare notes about their budding amours,0
508,920,An uncomfortable movie,0
509,920,suffocating and sometimes almost senseless,0
510,920,morbid,0
511,921,The lousy John Q,0
512,921,lousy,0
513,922,So devoid of pleasure or sensuality that it can not even be dubbed hedonistic .,0
514,922,So devoid of pleasure or sensuality,0
515,928,Their contrast is neither dramatic nor comic,0
516,929,Collateral Damage is trash,0
517,929,is trash,0
518,934,skinny dip in Jerry Bruckheimer 's putrid pond of retread action twaddle .,0
519,934,in Jerry Bruckheimer 's putrid pond of retread action twaddle,0
520,935,good intentions leads to the video store,0
521,942,bile,0
522,953,have worn threadbare .,0
523,957,is perhaps too effective in creating an atmosphere of dust-caked stagnation and labored gentility,0
524,961,finally succeeds in diminishing his stature from Oscar-winning master to lowly studio hack .,0
525,961,succeeds in diminishing his stature from Oscar-winning master to lowly studio hack .,0
526,961,succeeds in diminishing his stature from Oscar-winning master to lowly studio hack,0
527,961,diminishing his stature from Oscar-winning master to lowly studio hack,0
528,962,Horrid little propaganda film,0
529,964,nearly as dreadful as expected,0
530,964,nearly as dreadful,0
531,967,'s a whole heap of nothing at the core of this slight coming-of-age\/coming-out tale .,0
532,967,'s a whole heap of nothing at the core of this slight coming-of-age\/coming-out tale,0
533,967,a whole heap of nothing at the core of this slight coming-of-age\/coming-out tale,0
534,971,It 's probably not easy to make such a worthless film ...,0
535,971,'s probably not easy to make such a worthless film ...,0
536,971,'s probably not easy to make such a worthless film,0
537,971,easy to make such a worthless film,0
538,971,such a worthless film,0
539,971,a worthless film,0
540,971,worthless,0
541,981,drowns in sap .,0
542,988,the film would be a total washout .,0
543,993,is a dim-witted pairing of teen-speak and animal gibberish,0
544,995,What might have emerged as hilarious lunacy in the hands of Woody Allen or Mel Brooks -LRB- at least during their '70s heyday -RRB- comes across as lame and sophomoric in this debut indie feature .,0
545,995,comes across as lame and sophomoric in this debut indie feature,0
546,995,comes across as lame and sophomoric,0
547,995,lame and sophomoric,0
548,995,lame,0
549,996,I have not been this disappointed by a movie in a long time .,0
550,996,have not been this disappointed by a movie in a long time .,0
551,996,have not been this disappointed by a movie in a long time,0
552,996,been this disappointed by a movie in a long time,0
553,996,this disappointed by a movie in a long time,0
554,997,There 's not a comedic moment in this romantic comedy .,0
555,997,'s not a comedic moment in this romantic comedy .,0
556,997,'s not a comedic moment in this romantic comedy,0
557,1002,An incredibly irritating comedy about thoroughly vacuous people ... manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .,0
558,1002,An incredibly irritating comedy about thoroughly vacuous people,0
559,1002,An incredibly irritating comedy,0
560,1002,incredibly irritating comedy,0
561,1002,embody the worst excesses of nouvelle vague without any of its sense of fun or energy,0
562,1004,None of this is very original,0
563,1007,devoid of wit and humor,0
564,1009,thin writing proves its undoing,0
565,1011,Done in mostly by a weak script that ca n't support the epic treatment .,0
566,1011,a weak script,0
567,1025,hard to believe that something so short could be so flabby,0
568,1027,indulges in the worst elements of all of them,0
569,1028,that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen,0
570,1028,by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen,0
571,1031,it 's a conundrum not worth solving .,0
572,1032,illness,0
573,1034,Highly uneven and inconsistent ... Margarita Happy Hour kinda resembles the el cheapo margaritas served within .,0
574,1034,Highly uneven and inconsistent ...,0
575,1034,Highly uneven and inconsistent,0
576,1035,tries to touch on spousal abuse but veers off course,0
577,1037,... Cagney 's ` top of the world ' has been replaced by the bottom of the barrel .,0
578,1037,Cagney 's ` top of the world ' has been replaced by the bottom of the barrel,0
